code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"BAK",5.01,0,5.01,,,"","","46 Part Time.txt",
"BAK",6.32,0,6.32,,,"","","45 Full Time.txt",1.31
"BAK",14560,0,14560,,,"","","43 Assistant Store Manager.txt",14553.68
"BAK",22100,500,22600,,343,"","","42 Store Manager.txt",8040
"BAK",36700,0,36700,,,"REG MGR","","40 District Manager.txt",14100
"BAK",56600,0,56600,,,"DIV SALES MGR","","39 Regional Manager.txt",19900
"BAK",91000,,91000,,4000,"GEN SALES MGR","PRES","37 Top Store Operations.txt",34400
"BAK",30000,,30000,,0,"VD MGR","DR MKTNG","24 Top Visual.txt",-61000
"BAK",51000,,51000,,1,"DR MKTNG","","22 Top Mktg_Sales Promo.txt",21000
"BAK",34900,,34900,,,"MERCH","","19 Distributor.txt",-16100
"BAK",49800,,49800,,,"AB","","15 Assistant Buyer.txt",14900
"BAK",67900,,67900,,,"","","14 Buyer.txt",18100
"BAK",89200,,89200,,10,"DMM","","12 Div Merchandise Mgr.txt",21300
"BAK",155000,,155000,,30,"GMM","PRES","11 General Merchandise Mgr.txt",65800
"BAK",57000,,57000,,2,"COST CONTROLLER","","08 Controller.txt",-98000
"BAK",230000,0,230000,,4600,"PRES","PRES/EB FOOTWEAR","01 CEO.txt",173000
