code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"COA",7.5,.98,8.48,,,"","","46 Part Time.txt",
"COA",9.11,1.05,10.16,,,"","","45 Full Time.txt",1.68
"COA",26556,3384,29940,,,"","","43 Assistant Store Manager.txt",29929.84
"COA",38094,6837,44931,,13,"","","42 Store Manager.txt",14991
"COA",,,50580,,,"METRO MGR","","41 Area Manager.txt",5649
"COA",69630,9674,79304,,,"DM","","40 District Manager.txt",28724
"COA",75000,0,75000,,,"REGIONAL MGR","","39 Regional Manager.txt",-4304
"COA",225000,50000,275000,,1300,"SR VP RETAIL","CEO","37 Top Store Operations.txt",200000
"COA",76272,12037,88309,69909,20,"SR MGR TRANSPORTATION","DR DISTRIBUTION","36 Domestic Traffic.txt",-186691
"COA",119047,45675,164722,83200,228,"","","35 DC Manager.txt",76413
"COA",,,,,,"","","31 Comp_Benefits Mgr.txt",
"COA",175000,93721,268721,,57,"VP HR","CEO","30 Top Human Resources.txt",
"COA",48900,5379,54279,,0,"STORE SYSTEMS OPS MGR","SR MGR RETAIL OPS","29 Point Of Sale Admin.txt",-214442
"COA",112500,0,112500,,6,"DR, CORP MERCH & STORE DESIGN","VP, CREATIVE SERVICES","24 Top Visual.txt",58221
"COA",75000,0,75000,,1,"ART DR","SR MGR/MANAGING DR ADVERTISING","23 Art Department.txt",-37500
"COA",,,,,,"VP MARKET RESEARCH, ADVERTISING DR","","22 Top Mktg_Sales Promo.txt",
"COA",40000,5000,45000,,,"MERCH COORDINATOR","","18 Planner.txt",
"COA",55000,6300,61300,,1,"PLANNING MGR","","17 Sr Planner.txt",16300
"COA",90000,16381,106381,,12,"DR, FULL PRICE MERCH PLANNING","SR VP RETAIL","16 Top Planner.txt",45081
"COA",121000,37131,158131,,42,"CORPORATE CONTROLLER","","08 Controller.txt",51750
"COA",150100,73718,223818,,81,"CFO","","07 CFO.txt",65687
"COA",82897,17712,100609,,7,"SR MGR, STORE PLANNING & CONSTRUC","VP RETAIL OPS & PLANNING","05 Top Store Plan_Construct.txt",-123209
"COA",110000,0,110000,,1,"DR RE","SR VP RETAIL","03 Top Real Estate.txt",9391
"COA",410000,318934,728934,,5000,"CEO/CHAIRMAN","BD OF DR - PARENT CO","01 CEO.txt",618934
