code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"EDD",7.02,.06,7.08,4.9,,"","","46 Part Time.txt",
"EDD",8.46,.05,8.51,4.9,,"","","45 Full Time.txt",1.43
"EDD",26300,400,26700,,,"","","43 Assistant Store Manager.txt",26691.49
"EDD",35100,700,35800,,3,"","","42 Store Manager.txt",9100
"EDD",65400,3000,68400,,,"DM","","40 District Manager.txt",32600
"EDD",109000,52700,161700,,,"DIV VP, REGIONAL MGR","","39 Regional Manager.txt",93300
"EDD",200000,76800,276800,,2070,"VP, RETAIL CUSTOMER SATISFACTION & SALES","SR VP CUSTOMER SATISFACTION & SALES","37 Top Store Operations.txt",115100
"EDD",80000,8600,88600,,4,"DR LOSS PREVENTION","DR VP INTERNAL CONTROLS & PUBLIC RELATIONS","32 Top Loss Prevention.txt",-188200
"EDD",,,,,,"","","31 Comp_Benefits Mgr.txt",
"EDD",200000,171000,371000,,5,"VP HR","PRESIDENT","30 Top Human Resources.txt",
"EDD",89000,16600,105600,,5,"IS DR, SUPPORT SYSTEMS","","28 Computer Operations.txt",-265400
"EDD",86400,16900,103300,,3,"IS DR [STORES,FINANCE,& CORP APPLICATIONS]","","27 Systems Programming.txt",-2300
"EDD",128000,60200,188200,,4,"DIV VP, IS","SR VP FINANCE","26 Top Systems_Data Procg.txt",84900
"EDD",36900,800,37700,30600,,"VISUAL AREA MGR","","25 Regional Visual.txt",-150500
"EDD",138000,75000,213000,,4,"DIV VP, VISUAL","VP, RETAIL CUSTOMER SATISFACTION & SALES","24 Top Visual.txt",175300
"EDD",58000,6000,64000,,2,"CREATIVE DIRECTION MGR","VP, ADVERTISING","23 Art Department.txt",-149000
"EDD",,,,,,"VPs","","22 Top Mktg_Sales Promo.txt",
"EDD",33300,,33300,,,"FIELD QUALITY AUDITOR","","21 Product Coordinator.txt",
"EDD",80000,10300,90300,,4,"DR IMPORTS","VP SOURCING","20 Top Import Coordinator.txt",57000
"EDD",49000,3200,52200,,,"STORE PLANNER","","19 Distributor.txt",-38100
"EDD",51700,3045,54745,,,"PLANNER","","18 Planner.txt",2545
"EDD",65000,5600,70600,,2,"SR PLANNER","","17 Sr Planner.txt",15855
"EDD",123000,53400,176400,,7,"DIV VP, RETAIL PLNNING & ALLOCATION","VP, RETAIL MERCHANDISING","16 Top Planner.txt",105800
"EDD",33900,,33900,,,"ASST PRODUCT MGR","","15 Assistant Buyer.txt",-142500
"EDD",52700,3432,56132,,,"","","14 Buyer.txt",22232
"EDD",70600,7000,77600,,,"SR PRODUCT MGR","","13 Sr Buyer.txt",21468
"EDD",120000,10000,130000,,4,"DR, RETAIL MERCHANDISE","","12 Div Merchandise Mgr.txt",52400
"EDD",205000,112000,317000,,4,"VP, RETAIL OF CATALOG-MERCH","SR VP, MERCHANDISING","11 General Merchandise Mgr.txt",187000
"EDD",110000,35200,145200,,4,"","","10 Top Internal Auditor.txt",-171800
"EDD",140000,94000,234000,,4,"CONTROLLER","","08 Controller.txt",88800
"EDD",260000,171000,431000,,40,"SR VP FINANCE","","07 CFO.txt",197000
"EDD",,,,,,"DR, DESIGN OF STORE PLANNING & CONSTRUC","VP RE","05 Top Store Plan_Construct.txt",
"EDD",135000,94000,229000,,,"VP REAL ESTATE","SR VP FINANCE","03 Top Real Estate.txt",
"EDD",600000,467000,1067000,,9600,"PRESIDENT","CEO OF PARENT CO","01 CEO.txt",838000
