code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"FLA",5.04,0,5.04,,,"","","46 Part Time.txt",
"FLA",3.93,3.96,7.89,,,"","","45 Full Time.txt",2.85
"FLA",9679,9887,19566,,,"","","43 Assistant Store Manager.txt",19558.11
"FLA",32697,3383,36080,,7,"","","42 Store Manager.txt",16514
"FLA",49814,8879,58693,,,"DM","","40 District Manager.txt",22613
"FLA",73000,14161,87161,,,"REG VP","","39 Regional Manager.txt",28468
"FLA",97900,42220,140120,,4325,"VP GEN SALES MGR","VP GEN MGR","37 Top Store Operations.txt",52959
"FLA",61000,0,61000,,0,"DR/VM","VP/RET BRAND DR","24 Top Visual.txt",-79120
"FLA",35900,2973,38873,,,"MDSE MGR","","19 Distributor.txt",-22127
"FLA",67350,15781,83131,,,"MDSE PLAN","","18 Planner.txt",44258
"FLA",91700,26368,118068,,2,"VP MDSE PLAN & DIS","VP GEN MGR","16 Top Planner.txt",34937
"FLA",43433,6864,50297,,,"ASSOC B","","15 Assistant Buyer.txt",-67771
"FLA",70733,16393,87126,,,"","","14 Buyer.txt",36829
"FLA",88050,38686,126736,,4,"VP/BUYING DR","","12 Div Merchandise Mgr.txt",39610
"FLA",115000,47565,162565,,35,"VP GMM","VP/GEN MGR","11 General Merchandise Mgr.txt",35829
"FLA",,0,,,4384,"","","01 CEO.txt",
