code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"JBA",5.06,0,5.06,,,"","","46 Part Time.txt",
"JBA",6.56,0,6.56,,,"","","45 Full Time.txt",1.5
"JBA",11600,,11600,,,"","","43 Assistant Store Manager.txt",11593.44
"JBA",18000,,18000,,2,"","","42 Store Manager.txt",6400
"JBA",42100,0,42100,,,"DM","","40 District Manager.txt",24100
"JBA",76400,0,76400,,,"RM","","39 Regional Manager.txt",34300
"JBA",190000,0,190000,,3396,"DR STORE OPS","DIV PRES","37 Top Store Operations.txt",113600
"JBA",36900,,36900,28300,2,"FREIGHT PAY MGR","DR TRANS","36 Domestic Traffic.txt",-153100
"JBA",58500,,58500,,59,"","","35 DC Manager.txt",21600
"JBA",81600,0,81600,,79,"DR DC","CORP TREAS","34 Top DC _ Logistics.txt",23100
"JBA",88600,0,88600,,30,"DR LP","CORP TREAS","32 Top Loss Prevention.txt",7000
"JBA",,,,,,"","","31 Comp_Benefits Mgr.txt",
"JBA",149400,0,149400,,54,"DR HR","CFO","30 Top Human Resources.txt",
"JBA",55900,0,55900,,4,"STORE SYS MGR","DR COMP OPS","29 Point Of Sale Admin.txt",-93500
"JBA",111800,0,111800,,39,"DR COMP OPS","","28 Computer Operations.txt",55900
"JBA",79100,0,79100,,19,"DR APP & PROG","","27 Systems Programming.txt",-32700
"JBA",143500,0,143500,,108,"CIO","CFO","26 Top Systems_Data Procg.txt",64400
"JBA",,,,,,"DR ADV","","22 Top Mktg_Sales Promo.txt",
"JBA",27400,,27400,,,"DIST ANAL","","19 Distributor.txt",
"JBA",34400,,34400,,,"MER PLAN","","18 Planner.txt",7000
"JBA",55400,,55400,,5,"D & P  MGR","","17 Sr Planner.txt",21000
"JBA",70000,0,70000,,11,"DR PLAN & DIST","1ST VP PLAN&D","16 Top Planner.txt",14600
"JBA",28500,,28500,,,"ASST B","","15 Assistant Buyer.txt",-41500
"JBA",59000,0,54000,,,"","","14 Buyer.txt",25500
"JBA",112500,0,112500,,13,"DMM","","12 Div Merchandise Mgr.txt",58500
"JBA",182300,0,182300,,368,"CORP TREAS","","09 Treasurer.txt",69800
"JBA",308000,0,308000,,559,"CFO/CAO","","07 CFO.txt",125700
"JBA",41700,,41700,,,"PROJECT MGR","","06 Regional Store Construct.txt",-266300
"JBA",,,,,,"DR STORE PLAN","DR ST PLAN/RE","05 Top Store Plan_Construct.txt",
"JBA",75000,0,75000,,,"RE MGR","","04 Regional Real Estate.txt",
"JBA",148300,0,148300,,48,"DR STORE PLAN/RE","CFO/CAO","03 Top Real Estate.txt",73300
"JBA",126200,0,126200,,7,"GEN COUN","","02 General Counsel.txt",-22100
"JBA",450000,0,450000,,11800,"PRES/CEO","BD OF DR","01 CEO.txt",323800
