code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"LIZ",7.42,0,7.42,,,"","","46 Part Time.txt",
"LIZ",8.34,4.17,12.51,,,"","","45 Full Time.txt",5.09
"LIZ",25830,251,26081,24000,,"","","43 Assistant Store Manager.txt",26068.49
"LIZ",34200,1000,35200,,10,"","","42 Store Manager.txt",9119
"LIZ",56530,4700,61230,,,"DM","","40 District Manager.txt",26030
"LIZ",83430,13000,96430,,,"REGIONAL MGR","","39 Regional Manager.txt",35200
"LIZ",141250,14000,155250,,1038,"DIV VP OF STORES","PRES OF CORP RETAIL","37 Top Store Operations.txt",58820
"LIZ",99600,17000,116600,71200,28,"DR OF TRANSPORTATION","VP DIVISIONAL CONTROLLER","36 Domestic Traffic.txt",-38650
"LIZ",63900,17100,81000,58200,200,"","","35 DC Manager.txt",-35600
"LIZ",290100,25000,315100,,600,"SR VP MANUFACTURING & SOURCING","CEO","34 Top DC _ Logistics.txt",234100
"LIZ",63100,12000,75100,,0,"MGR RETAIL LOSS PREVENTION","DR SECURITY","32 Top Loss Prevention.txt",-240000
"LIZ",120000,0,120000,,5,"","","31 Comp_Benefits Mgr.txt",44900
"LIZ",225000,135000,360000,,8,"SR VP HR","PRESIDENT & CEO","30 Top Human Resources.txt",240000
"LIZ",101200,42000,143200,,70,"DR, INFORMATION TECHNOLOGY","","28 Computer Operations.txt",-216800
"LIZ",83400,16000,99400,,25,"MGR DATA COMMUNICATIONS","","27 Systems Programming.txt",-43800
"LIZ",192000,25000,217000,,200,"VP INFORMATION SYSTEMS","SR VP, SYSTEMS & REENGINEERING","26 Top Systems_Data Procg.txt",117600
"LIZ",39500,4000,43500,36500,,"MGR, VISUAL MERCHANDISING","","25 Regional Visual.txt",-173500
"LIZ",79500,11000,90500,,6,"DR VISUAL MERCHANDISING","DIV VP STORES - RETAIL","24 Top Visual.txt",47000
"LIZ",131000,35000,166000,,2,"DR OF MARKETING","","22 Top Mktg_Sales Promo.txt",75500
"LIZ",38000,2800,40800,,,"ALLOCATOR","","19 Distributor.txt",-125200
"LIZ",56000,7800,63800,,,"DR ALLOCATION","","18 Planner.txt",23000
"LIZ",49500,2400,51900,,4,"MGR - MERAHANDISE CONTROL","","17 Sr Planner.txt",-11900
"LIZ",121200,25000,146200,,13,"DIVISIONAL VP, PLANNING & ALLOCATION","PRESIDENT RETAIL","16 Top Planner.txt",94300
"LIZ",38100,1500,39600,,,"ASST BUYER RETAIL","","15 Assistant Buyer.txt",-106600
"LIZ",,,59300,,,"","","14 Buyer.txt",19700
"LIZ",57820,2876,60696,,,"GROUP MERCHANDISER","","13 Sr Buyer.txt",1396
"LIZ",96000,20000,116000,,12,"DR RETAIL MERCHANDISING","PRESIDENT RETAIL","11 General Merchandise Mgr.txt",55304
"LIZ",166800,45000,211800,,5,"","","10 Top Internal Auditor.txt",95800
"LIZ",161600,50000,211600,,1,"VP CORP TREASURER","","09 Treasurer.txt",-200
"LIZ",196700,135300,332000,,60,"VP CORP CONTROLLER","","08 Controller.txt",120400
"LIZ",350000,225000,575000,,80,"SR VP FINANCE","","07 CFO.txt",243000
"LIZ",70000,10200,80200,,,"DR MANUFACTURING& CONSTRUCTION","","06 Regional Store Construct.txt",-494800
"LIZ",100100,15000,115100,,8,"VP, STORE PLANNING & CONSTRUC","VP MARKETING","05 Top Store Plan_Construct.txt",34900
"LIZ",210000,100000,310000,,9,"VP- CORPORATE AFFAIRS/GC","","02 General Counsel.txt",194900
"LIZ",270000,62000,332000,,4400,"PRESIDENT CORP RETAIL","CEO","01 CEO.txt",22000
