code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"MAU",5.7,.15,5.85,4.35,,"","","46 Part Time.txt",
"MAU",7.79,.2,7.99,4.35,,"","","45 Full Time.txt",2.14
"MAU",17255,140,17395,15000,,"","","43 Assistant Store Manager.txt",17387.01
"MAU",24301,350,24651,,5,"","","42 Store Manager.txt",7256
"MAU",,,25292,,,"AREA MGR","","41 Area Manager.txt",641
"MAU",43395,5121,48516,,,"REGIONAL SUPER","","40 District Manager.txt",23224
"MAU",78333,13050,91383,,,"DIVISIONAL SUPERVISOR","","39 Regional Manager.txt",42867
"MAU",176000,33700,209700,,4804,"VP, STORE OPS","PRESIDENT","37 Top Store Operations.txt",118317
"MAU",57000,0,57000,50000,6,"TRAFFIC MGR","TRAFFIC & DISTRIBUTION DR","36 Domestic Traffic.txt",-152700
"MAU",73000,9820,82820,60000,387,"","","35 DC Manager.txt",25820
"MAU",74000,9265,83265,,398,"TRAFFIC & DISTRIBUTION DR","CFO","34 Top DC _ Logistics.txt",445
"MAU",63500,2197,65697,,7,"OPERATIONS MGR","STORE OPS DR","32 Top Loss Prevention.txt",-17568
"MAU",65000,8396,73396,,25,"","","31 Comp_Benefits Mgr.txt",7699
"MAU",127000,24735,151735,,30,"VP, HR","PRESIDENT","30 Top Human Resources.txt",78339
"MAU",37000,200,37200,,4,"P.O.S. MGR","POS COMMUNICATION & OFFICE SYSTEMS MGR","29 Point Of Sale Admin.txt",-114535
"MAU",87000,1903,88903,,20,"COMPUTER OPS DR","","28 Computer Operations.txt",51703
"MAU",83500,2907,86407,,26,"SYSTEMS & PROGRAMMING DR","","27 Systems Programming.txt",-2496
"MAU",131000,15000,146000,,80,"MIS DR","CFO","26 Top Systems_Data Procg.txt",59593
"MAU",35000,1423,36423,,2,"VISUAL DISPLAY MGR","MKTNG & VIS DISPLAY DR","24 Top Visual.txt",-109577
"MAU",,,,,,"MARKETING & VISUAL DISPLAY DR","","22 Top Mktg_Sales Promo.txt",
"MAU",27900,1110,29010,,,"CLASSIFICATION MGR","","19 Distributor.txt",
"MAU",35600,14023,49623,,,"MERCHANDISE PLANNER","","18 Planner.txt",20613
"MAU",116000,9100,125100,,17,"SR DMM OF PLANNING & DISTRIBUTION","VP/GMM","16 Top Planner.txt",75477
"MAU",28300,700,29000,,,"ASST BUYER","","15 Assistant Buyer.txt",-96100
"MAU",47786,5058,46531,,,"","","14 Buyer.txt",17531
"MAU",93000,6300,99300,,8,"DMM","","12 Div Merchandise Mgr.txt",52769
"MAU",400000,39500,439500,,92,"VP/GMM","PRESIDENT","11 General Merchandise Mgr.txt",340200
"MAU",83500,10500,94000,,36,"CONTROLLER","","08 Controller.txt",-345500
"MAU",223000,42300,265300,,515,"CFO","","07 CFO.txt",171300
"MAU",56000,7900,63900,,16,"MGR, CONSTRUC & DESIGN","DR OF LEASING,INS, CONSTRUC","05 Top Store Plan_Construct.txt",-201400
"MAU",122000,25800,147800,,38,"DR OF LEASING, INS & CONSTRUC","PRESIDENT","03 Top Real Estate.txt",83900
"MAU",300000,37300,337300,,5582,"PRESIDENT","PRESIDENT OF PARENT CO","01 CEO.txt",189500
