code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"POT",6.61,0,6.61,6,,"","","46 Part Time.txt",
"POT",7.4,0,7.4,6,,"","","45 Full Time.txt",.79
"POT",25083,320,25403,19100,,"","","43 Assistant Store Manager.txt",25395.6
"POT",35591,922,36513,,22,"","","42 Store Manager.txt",11110
"POT",54200,700,54900,,,"DM","","40 District Manager.txt",18387
"POT",78500,0,78500,,,"RM","","39 Regional Manager.txt",23600
"POT",140000,0,140000,,1600,"VP/STORES","DIV PRES","37 Top Store Operations.txt",61500
"POT",24945,0,24945,,,"VIS MERCH","","25 Regional Visual.txt",-115055
"POT",66500,0,66500,,7,"DR VIS MERCH","DIV PRES","24 Top Visual.txt",41555
"POT",36600,0,36600,,,"RETAIL INVENT PLANN","","18 Planner.txt",-29900
"POT",130000,0,130000,,8,"DR/INVENT MGMT","DIV PRES","16 Top Planner.txt",93400
"POT",34670,0,34670,,,"AB","","15 Assistant Buyer.txt",-95330
"POT",52600,0,52600,,,"","","14 Buyer.txt",17930
"POT",79500,0,79500,,9,"DR/DMM","","12 Div Merchandise Mgr.txt",26900
"POT",400000,0,400000,,1700,"PRES OF DIV","CEOCHAIR","01 CEO.txt",320500
