code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"REE",6.13,.73,6.86,,,"","","46 Part Time.txt",
"REE",6.99,1.04,8.03,,,"","","45 Full Time.txt",1.17
"REE",21042,5058,26100,,,"","","43 Assistant Store Manager.txt",26091.97
"REE",30900,8805,39705,,7,"","","42 Store Manager.txt",13605
"REE",49700,16950,66650,,,"DISTRICT SUPER","","40 District Manager.txt",26945
"REE",78300,3680,81980,,,"REGIONAL SUPERVISOR","","39 Regional Manager.txt",15330
"REE",110000,15976,125976,,800,"VP, STORE OPS","PRES/CEO","37 Top Store Operations.txt",43996
"REE",63000,2564,65564,,25,"LOGISTICS MGR","VP OF ADMINISTRATION","34 Top DC _ Logistics.txt",-60412
"REE",63000,2823,65823,,8,"HR MGR","CFO","30 Top Human Resources.txt",259
"REE",38896,416,39312,,3,"SYSTEMS SUPPORT SUPERVISOR","INFO TECHNOLOGY MGR","29 Point Of Sale Admin.txt",-26511
"REE",78832,3565,82397,,8,"INFORMATION TECHNOLOOGY MGR","TREASURER/CFO","26 Top Systems_Data Procg.txt",43085
"REE",63961,2839,66800,,,"CHIEF MERCHANDISER","","18 Planner.txt",-15597
"REE",16625,0,16625,,,"ASST BUYER","","15 Assistant Buyer.txt",-50175
"REE",,,30008,,,"","","14 Buyer.txt",13383
"REE",57810,648,58458,,,"SR BUYER","","13 Sr Buyer.txt",28450
"REE",100000,12500,112500,,15,"VP OF MERCHANDISING","CEO","11 General Merchandise Mgr.txt",54042
"REE",139000,25000,164000,,20,"TREASURER/CFO","","07 CFO.txt",51500
"REE",,,,,,"STORE CONSTRUCTION MGR","VP OF ADMINISTRATION","05 Top Store Plan_Construct.txt",
"REE",185000,55000,240000,,1000,"PRES/CEO","BD OF DR","01 CEO.txt",
