code,stores,volume,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,ZoneMgr,TopStoreOps
"BIL",457,235332064.3,10656,17641,,37504,73833,,103750
"BRI",90,104284541.3,24576,31151,,50822,69333,,140000
"BRO",144,185018184,23784,35383,47700,93450,142500,,170000
"CAM",375,450721171.9,16684,27367,33405,47707,75871,,165000
"CAT",675,468668109.4,15250,24667,32617,41329,78500,,208000
"CHA",503,723848437.5,19808,38298,,62596,86186,,129406
"COA",89,,29940,44931,50580,79304,75000,,275000
"COU",750,818854218.8,17534,24156,29622,42829,85243,,222000
"DRE",764,610755829.5,17243,26200,30500,40121,66134,,180000
"FAM",620,601746580,15464,25061,32634,48305,84849,,210000
"GAN",114,191321739.8,24653,32379,42940,47597,80136,,155000
"KIN",551,,16030,32419,,52044,69955,,91400
"MAU",669,476675921.8,17395,24651,25292,48516,91383,,209700
"MOD",170,,15100,25500,32800,49300,79900,,152500
"MUS",1220,1610394663,16657,24605,,47024,93336,,113136
"ONE",675,311443755.5,14004,20270,28391,39531,75415,,110000
"REE",100,,26100,39705,,66650,81980,,125976
"REN",1100,,19635,32500,,62000,87576,,148750
"STE",795,980844168.8,20641,34601,,70301,152683,,188260
