code,base,bonus,total,hire,reports,title,reportsto,fileName,payGap
"GAP",94100,6000,100100,,15,"SR DR INT'L SERVICE","SR VP LOG & SOURC","20 Top Import Coordinator.txt",
"GAP",36700,,36700,,,"DISTRIB ANALYST","","19 Distributor.txt",-63400
"GAP",45000,,45000,,,"PLANNER","","18 Planner.txt",8300
"GAP",56000,2000,58000,,5,"PLANNING MGR","","17 Sr Planner.txt",13000
"GAP",125000,15000,140000,,40,"SR DR/VP PLAN DISTR","DIV PRES/SR VP MERCH","16 Top Planner.txt",82000
"GAP",43000,,43000,,,"ASST MERCH","","15 Assistant Buyer.txt",-97000
"GAP",59000,3700,57500,,,"","","14 Buyer.txt",14500
"GAP",67000,7100,74100,,,"SR MERCH","","13 Sr Buyer.txt",16600
"GAP",103000,12000,115000,,3,"MERCH MGR","","12 Div Merchandise Mgr.txt",40900
"GAP",331500,64300,395800,,25,"SR VP MERCH","DIV PRES","11 General Merchandise Mgr.txt",280800
