code,stores,volume,employees,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,TopStoreOps
"AER",120,1.360e+08,1841,10.92,46267,57931,67181,93833,268100
"AMY",302,2.590e+08,4154,9.04,30420,37603,47100,70750,128000
"BRO",180,2.398e+08,2126,12.55,36600,55500,79800,112967,260000
"CHI",180,1.925e+08,2735,12.78,33783,51607,52925,109700,175500
"CMA",456,2.569e+08,2770,9.15,29000,40000,50800,85400,140000
"DRE",698,5.800e+08,7146,8.95,28412,37000,45000,82500,255000
"GAN",115,1.611e+08,2021,12.07,33140,38000,56985,91800,225000
"GEN",2300,1.200e+09,14165,11.52,22600,28123,47485,115849,153728
"HIT",265,1.700e+08,2235,8.65,25253,30000,73200,105500,225000
"LIZ",111,1.343e+08,1232,13.57,35662,54500,66190,93400,166600
"MAU",581,3.957e+08,4677,9.45,27290,35925,51650,88067,230000
