code,AsstStoreMgr,StoreMgr,DistrictMgr,RegionalMgr,TopStoreOps
"BAK",14560,22600,36700,56600,91000
"BIL",10656,17641,37504,73833,103750
"BOM",17540,27500,48100,86500,184000
"BRI",24576,31151,50822,69333,140000
"CAR",14376,24532,47312,74655,124288
"CHA",19808,38298,62596,86186,129406
"CMA",16900,26400,43500,72600,123500
"EDD",26700,35800,68400,161700,276800
"FLA",19566,36080,58693,87161,140120
"FOO",19638,40209,62637,96091,151103
"JBA",11600,18000,42100,76400,190000
"JRI",17200,22742,34800,60800,140000
"KIN",16030,32419,52044,69955,91400
"LAN",20300,30300,56600,135700,399000
"LEC",17860,25483,47569,115291,220500
"LIZ",26081,35200,61230,96430,155250
"MIL",21340,31300,57200,152250,260000
"MUS",16657,24605,47024,93336,113136
"PAR",15100,27500,49100,76700,120000
"PET",15392,25369,50356,119167,225000
"POT",25403,36513,54900,78500,140000
"REE",26100,39705,66650,81980,125976
"REN",19635,32500,62000,87576,148750
"SCA",13500,18850,35400,67000,118900
"STE",20641,34601,70301,152683,188260
"TAL",25626,37910,60348,113157,255746
"WMS",22633,32401,58100,92167,145000
