"","Code","Stores","Volume","AsstToStore","StoreToArea","AreaToDist","DistToReg","RegToTop"
"1","BRO",144,185018184,11599,12317,45750,49050,27500
"2","CAM",375,450721171.9,10683,6038,14302,28164,89129
"3","CAT",675,468668109.4,9417,7950,8712,37171,129500
"4","COA",89,NA,14991,5649,28724,-4304,200000
"5","COU",750,818854218.8,6622,5466,13207,42414,136757
"6","DRE",764,610755829.5,8957,4300,9621,26013,113866
"7","FAM",620,601746580,9597,7573,15671,36544,125151
"8","GAN",114,191321739.8,7726,10561,4657,32539,74864
"9","GEN",1600,843404300,814,4937,16680,91813,25247
"10","MAU",669,476675921.8,7256,641,23224,42867,118317
"11","MOD",170,NA,10400,7300,16500,30600,72600
"12","ONE",675,311443755.5,6266,8121,11140,35884,34585
"13","PRI",150,61108401.56,5715,8881,13112,26614,56995
"14","REC",504,NA,7715,8356,11065,48870,216067
