"","Code","Stores","Volume","AsstToStore","StoreToDist","DistToReg","RegToTop"
"1","BAK",333,267440625,8040,14100,19900,34400
"2","BIL",457,235332064.3,6985,19863,36329,29917
"3","BOM",377,339909467.6,9960,20600,38400,97500
"4","BRI",90,104284541.3,6575,19671,18511,70667
"5","CAR",353,157026975.6,10156,22780,27343,49633
"6","CHA",503,723848437.5,18490,24298,23590,43220
"7","CMA",400,209422225,9500,17100,29100,50900
"8","EDD",335,1042531139,9100,32600,93300,115100
"9","FLA",615,NA,16514,22613,28468,52959
"10","FOO",1544,1538084261,20571,22428,33454,55012
"11","JBA",2229,1442341320,6400,24100,34300,113600
"12","JRI",370,295511553.8,5542,12058,26000,79200
"13","KIN",551,NA,16389,19625,17911,21445
"14","LAN",824,1017749283,10000,26300,79100,263300
"15","LEC",643,453059407.5,7623,22086,67722,105209
"16","LIZ",118,168254916.8,9119,26030,35200,58820
"17","MIL",207,470454540.8,9960,25900,95050,107750
"18","MUS",1220,1610394663,7948,22419,46312,19800
"19","PAR",168,NA,12400,21600,27600,43300
"20","PET",528,466881030,9977,24987,68811,105833
"21","POT",77,235939627,11110,18387,23600,61500
"22","REE",100,NA,13605,26945,15330,43996
"23","REN",1100,NA,12865,29500,25576,61174
"24","SCA",216,NA,5350,16550,31600,51900
"25","STE",795,980844168.8,13960,35700,82382,35577
"26","TAL",451,721600000,12284,22438,52809,142589
"27","WMS",179,548483029,9768,25699,34067,52833
