"","Code","Stores","Volume","AsstToStoreVSStoreToArea","StoreToAreaVSAreaToDist","AreaToDistVSDistToReg","DistToRegVSRegToTop","avgNZ"
"1","BRO",144,185018184,718,33433,3300,-21550,3975.25
"2","CAM",375,450721171.9,-4645,8264,13862,60965,19611.5
"3","CAT",675,468668109.4,-1467,762,28459,92329,30020.75
"4","COA",89,NA,-9342,23075,-33028,204304,46252.25
"5","COU",750,818854218.8,-1156,7741,29207,94343,32533.75
"6","DRE",764,610755829.5,-4657,5321,16392,87853,26227.25
"7","FAM",620,601746580,-2024,8098,20873,88607,28888.5
"8","GAN",114,191321739.8,2835,-5904,27882,42325,16784.5
"9","GEN",1600,843404300,4123,11743,75133,-66566,6108.25
"10","MAU",669,476675921.8,-6615,22583,19643,75450,27765.25
"11","MOD",170,NA,-3100,9200,14100,42000,15550
"12","ONE",675,311443755.5,1855,3019,24744,-1299,7079.75
"13","PRI",150,61108401.56,3166,4231,13502,30381,12820
"14","REC",504,NA,641,2709,37805,167197,52088
