"","Code","Structure","Stores","Volume"
"1",1,1,333,267440625
"2",2,0,457,235332064.3
"3",3,1,377,339909467.6
"4",4,0,90,104284541.3
"5",5,1,353,157026975.6
"6",6,0,503,723848437.5
"7",7,1,400,209422225
"8",8,1,335,1042531139
"9",9,1,615,NA
"10",10,1,1544,1538084261
"11",11,1,2229,1442341320
"12",12,1,370,295511553.8
"13",13,0,551,NA
"14",14,1,824,1017749283
"15",15,1,643,453059407.5
"16",16,1,118,168254916.8
"17",17,1,207,470454540.8
"18",18,0,1220,1610394663
"19",19,1,168,NA
"20",20,1,528,466881030
"21",21,1,77,235939627
"22",22,0,100,NA
"23",23,0,1100,NA
"24",24,1,216,NA
"25",25,0,795,980844168.8
"26",26,1,451,721600000
"27",27,1,179,548483029
