"","Code","Structure","Stores","Volume"
"1",1,1,165,2.12e+08
"2",2,0,312,3.75e+08
"3",3,0,493,538300000
"4",4,0,688,5.5e+08
"5",5,0,204,1.55e+08
"6",6,0,115,1.93e+08
"7",7,0,1880,9.91e+08
"8",8,1,623,443900000
"9",9,0,648,2.99e+08
"10",10,0,928,979700000
"11",1,1,314,326400000
"12",2,1,452,232800000
"13",3,1,373,336300000
"14",4,0,106,122800000
"15",5,1,372,165500000
"16",6,0,1135,1.2e+09
"17",7,1,450,235600000
"18",8,1,276,2e+08
"19",9,1,482,1.5e+09
"20",10,1,805,781300000
"21",11,1,937,277300000
"22",12,1,478,336800000
"23",13,0,113,161100000
"24",14,0,311,2.75e+08
"25",15,1,265,8.12e+08
"26",16,1,557,363100000
"27",17,1,500,8e+08
"28",18,1,265,8.12e+08
"29",19,1,3012,3.115e+09
