"","Code","Stores","Volume","Employees","AsstToStore","StoreToArea","AreaToDist","DistToReg","RegToTop"
"1","BRO",165,2.12e+08,1974,9662,17678,18888,42137,97678
"2","CAM",312,3.75e+08,3500,12479.6,4707,18573,44694,149200
"3","COU",493,538300000,5681,11544.2,8130,15725,24359,46717
"4","DRE",688,5.5e+08,6850,8837.2,5029,9750,31275,139200
"5","FRE",204,1.55e+08,1300,16612,-2600,17500,37000,106300
"6","GAN",115,1.93e+08,2212,8440.6,9950,8427,38888,135000
"7","GEN",1880,9.91e+08,11000,-3104,7347,27053,113600,4850
"8","MAU",623,443900000,5076,7879.6,8350,14200,44300,125800
"9","ONE",648,2.99e+08,5474,6157.8,2893,14983,47573,35730
"10","WAL",928,979700000,18352,9357.6,13050,9210,85640,330000
