code,stores,volume,employees,AsstStoreMgr,StoreMgr,AreaMgr,DistrictMgr,RegionalMgr,TopStoreOps
"BRO",165,2.120e+08,1974,12.95,36598,54276,73164,115301,212979
"CAM",312,3.750e+08,3500,8.58,30326,35033,53606,98300,247500
"COU",493,5.383e+08,5681,8.81,29869,37999,53724,78083,124800
"DRE",688,5.500e+08,6850,8.61,26746,31775,41525,72800,212000
"FRE",204,1.550e+08,1300,6.1,29300,26700,44200,81200,187500
"GAN",115,1.930e+08,2212,11.68,32735,42685,51112,90000,225000
"GEN",1880,9.910e+08,11000,11.3,20400,27747,54800,168400,173250
"MAU",623,4.439e+08,5076,8.88,26350,34700,48900,93200,219000
"ONE",648,2.990e+08,5474,6.89,20489,23382,38365,85938,121668
"WAL",928,9.797e+08,18352,8.53,27100,40150,49360,135000,465000
