"","Code","Stores","Volume","Employees","AsstToStoreVSStoreToDist","StoreToDistVSDistToReg","DistToRegVSRegToTop","avgNZNA"
"1","AME",314,326400000,5775,15040,12801,41694,23178.3333333333
"2","BIL",452,232800000,2804,13447.2,17070,18276,16264.4
"3","BOM",373,336300000,3951,13433.6,10268,57840,27180.5333333333
"4","BRI",106,122800000,1669,10968,-5491,106218,37231.6666666667
"5","CAR",372,165500000,2576,12876.6,5538,19825,12746.5333333333
"6","CHR",1135,1.2e+09,14000,-3996.4,40125,232100,89409.5333333333
"7","CMA",450,235600000,2609,10379.2,6700,42000,19693.0666666667
"8","DEB",276,2e+08,2426,1989.4,8734,4823,5182.13333333333
"9","EDD",482,1.5e+09,3511,34250,75429,80944,63541
"10","FAM",805,781300000,8034,7840.4,16421,60440,28233.8
"11","JLI",937,277300000,2949,21135.2,8100,15800,15011.7333333333
"12","LEC",478,336800000,6639,8487.6,63980,12854,28440.5333333333
"13","LIZ",113,161100000,1356,-1556.4,22442,7050,9311.86666666667
"14","PET",311,2.75e+08,3400,15957,205836,-292447,-23551.3333333333
"15","POT",265,8.12e+08,2250,12488.4,22880,24298,19888.8
"16","SIZ",557,363100000,5371,17631.8,33425,22993,24683.2666666667
"17","TAL",500,8e+08,7888,16329.2,18386,25100,19938.4
"18","WMS",265,8.12e+08,3660,16991.8,34897,79817,43901.9333333333
"19","WOO",3012,3.115e+09,29850,10334,8804,15186,11441.3333333333
