"","Code","Stores","Volume","Employees","AsstToStore","StoreToDist","DistToReg","RegToTop"
"1","AME",336,405700000,6353,12264,26467,65194,173950
"2","BOD",214,161600000,1720,9835.2,22900,33400,99000
"3","BRI",97,93591504,1386,6543.8,28502,34815,120000
"4","CAR",373,176700000,3262,11933.46,22947.7,30560.16,50542.48
"5","CAS",773,5e+08,8397,7800,26705,55450,47685
"6","CHA",640,9.21e+08,7553,21401,16247,0,151032
"7","CRB",68,4.57e+08,4497,15142.4,24800,45500,167500
"8","DIS",466,876900000,13890,8601.6,25200,33800,90800
"9","EDD",567,1.8e+09,5857,10000.8,44302,71066,137300
"10","FAM",812,849900000,8786,11702.8,21682,40490,117113
"11","FAS",1160,1.1e+09,15000,11128,17500,53400,66000
"12","FOA",550,6.07e+08,7596,7904.8,33009,31051,159251
"13","FOO",2610,2.6e+09,23708,18454.6,19229,33720,25150
"14","GAD",275,2.32e+08,2925,13157.8,14551,46000,147800
"15","JBI",871,264900000,2877,3841.2,25950,35900,51000
"16","LEC",615,445300000,6539,9285.2,21582,73550,105450
"17","LIN",187,8e+08,7532,12185.6,30664,138800,156200
"18","TAL",603,1.054e+09,9132,12161.6,28614,40008,102428
"19","WAL",902,968200000,9000,9079.2,23900,88100,40000
"20","WMS",173,502500000,4548,10756.2,27504,50871,56200
