"","Code","Stores","Volume","Employees","AsstToStoreVSStoreToArea","StoreToAreaVSAreaToDist","AreaToDistVSDistToReg","DistToRegVSRegToTop","avgNZ"
"1","AER",120,1.36e+08,1841,-11889.4,-2414,17402,147615,37678.4
"2","AMY",302,2.59e+08,4154,-4433.8,2314,14153,33600,11408.3
"3","BRO",180,239800000,2126,8404,5400,8867,113866,34134.25
"4","CHI",180,192500000,2735,10623.4,-16506,55457,9025,14649.85
"5","CMA",456,256900000,2770,1032,-200,23800,20000,11158
"6","DRE",698,5.8e+08,7146,-1208,-588,29500,135000,40676
"7","GAN",115,161100000,2021,-3174.4,14125,15830,98385,31291.4
"8","GEN",2300,1.2e+09,14165,6884.6,13839,49002,-30485,9810.15
"9","HIT",265,1.7e+08,2235,-2514,38453,-10900,87200,28059.75
"10","LIZ",111,134300000,1232,11401.6,-7148,15520,45990,16440.9
"11","MAU",581,395700000,4677,1001,7090,20692,105516,33574.75
